Compound Identifier	Odor	Replicate	Intensity	Dilution	subject #	INTENSITY/STRENGTH	VALENCE/PLEASANTNESS	BAKERY	SWEET	FRUIT	FISH	GARLIC	SPICES	COLD	SOUR	BURNT	ACID	WARM	MUSKY	SWEATY	AMMONIA/URINOUS	DECAYED	WOOD	GRASS	FLOWER	CHEMICAL
243	N/A	0	low	1/100000	1	22	78	0	76	73	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	1	73	14	0	0	0	0	0	0	0	48	0	0	0	0	0	0	49	0	0	0	0
243	N/A	0	low	1/100000	2	39	35	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	8
243	N/A	0	high	1/1000	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	3	13	70	0	52	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	40	0
243	N/A	0	high	1/1000	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	4	12	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
243	N/A	0	high	1/1000	4	2	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
243	N/A	0	low	1/100000	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	5	61	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	7	5	83	0	27	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
243	N/A	0	high	1/1000	7	25	11	0	0	0	0	0	0	0	26	0	0	0	0	62	0	0	0	0	0	0
243	N/A	0	low	1/100000	8	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	8	43	42	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	9	33	91	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
